loan_id,user_id,loan_type
1,2,real estate
2,3,real estate
3,5,REAL ESTATE
4,5,real estate
5,8,real estate
6,8,Real Estate
7,8,real estate
8,9,real estate
9,9,real estate
10,9,real estate
11,10,real estate
12,10,real estate
13,11,real estate
14,11,real estate
15,12,real estate
16,15,real estate
17,15,real estate
18,15,real estate
19,15,real estate
20,15,real estate
21,16,real estate
22,16,real estate
23,18,real estate
24,19,real estate
25,19,real estate
26,19,real estate
27,22,real estate
28,23,real estate
29,24,real estate
30,25,real estate
31,26,real estate
32,27,real estate
33,28,real estate
34,28,real estate
35,29,real estate
36,30,real estate
37,30,real estate
38,31,real estate
39,31,real estate
40,31,real estate
41,32,real estate
42,33,real estate
43,34,real estate
44,35,real estate
45,36,real estate
46,39,real estate
47,40,real estate
48,41,real estate
49,41,real estate
50,41,real estate
51,43,real estate
52,45,real estate
53,47,real estate
54,47,real estate
55,49,real estate
56,50,real estate
57,50,real estate
58,52,real estate
59,52,real estate
60,55,real estate
61,57,real estate
62,58,real estate
63,61,real estate
64,61,real estate
65,61,real estate
66,61,real estate
67,61,real estate
68,64,real estate
69,64,real estate
70,64,real estate
71,64,real estate
72,64,real estate
73,66,real estate
74,67,real estate
75,67,real estate
76,70,real estate
77,71,real estate
78,74,real estate
79,75,real estate
80,75,real estate
81,76,real estate
82,77,real estate
83,78,real estate
84,79,real estate
85,79,real estate
86,81,real estate
87,81,real estate
88,81,real estate
89,82,real estate
90,84,real estate
91,85,real estate
92,88,real estate
93,89,real estate
94,97,real estate
95,98,real estate
96,98,real estate
97,100,real estate
98,104,real estate
99,107,real estate
100,109,real estate
101,109,real estate
102,111,real estate
103,111,real estate
104,111,real estate
105,111,real estate
106,112,real estate
107,113,real estate
108,114,real estate
109,116,real estate
110,117,real estate
111,117,real estate
112,117,real estate
113,119,real estate
114,121,real estate
115,124,real estate
116,124,real estate
117,124,real estate
118,126,real estate
119,126,real estate
120,127,real estate
121,128,real estate
122,128,real estate
123,128,real estate
124,128,real estate
125,129,real estate
126,131,real estate
127,131,real estate
128,132,real estate
129,133,real estate
130,136,real estate
131,136,real estate
132,136,real estate
133,136,real estate
134,138,real estate
135,140,real estate
136,140,real estate
137,142,real estate
138,143,real estate
139,144,real estate
140,145,real estate
141,147,real estate
142,148,real estate
143,148,real estate
144,150,real estate
145,150,real estate
146,150,real estate
147,151,real estate
148,153,real estate
149,153,real estate
150,154,real estate
151,155,real estate
152,156,real estate
153,158,real estate
154,158,real estate
155,160,real estate
